date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:16:08	40195/40195	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202020%2020:41:07%20GMT	http://7oroof.com/demos/promina/about-us.html	C:/My%20Web%20Sites/akram/7oroof.com/demos/promina/about-us.html	(from )
21:16:08	20950/20950	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202020%2020:41:14%20GMT	http://7oroof.com/demos/promina/faqs.html	C:/My%20Web%20Sites/akram/7oroof.com/demos/promina/faqs.html	(from )
21:16:08	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2022%20Jul%202020%2020:32:18%20GMT	http://7oroof.com/robots.txt		(from )
21:16:09	687/687	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Jun%202020%2020:37:36%20GMT	http://7oroof.com/demos/promina/assets/images/favicon/favicon.png	C:/My%20Web%20Sites/akram/7oroof.com/demos/promina/assets/images/favicon/favicon.png	(from http://7oroof.com/demos/promina/about-us.html)
21:16:10	203786/203786	---M--	200	added ('OK')	text/css	date:Tue,%2030%20Jun%202020%2020:35:25%20GMT	http://7oroof.com/demos/promina/assets/css/libraries.css	C:/My%20Web%20Sites/akram/7oroof.com/demos/promina/assets/css/libraries.css	(from http://7oroof.com/demos/promina/about-us.html)
21:16:12	119857/119857	---M--	200	added ('OK')	text/css	date:Tue,%2030%20Jun%202020%2020:35:27%20GMT	http://7oroof.com/demos/promina/assets/css/style.css	C:/My%20Web%20Sites/akram/7oroof.com/demos/promina/assets/css/style.css	(from http://7oroof.com/demos/promina/about-us.html)
21:16:13	58348/58348	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202020%2020:41:17%20GMT	http://7oroof.com/demos/promina/index.html	C:/My%20Web%20Sites/akram/7oroof.com/demos/promina/index.html	(from http://7oroof.com/demos/promina/about-us.html)
21:16:14	1125/1125	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Jun%202020%2020:37:48%20GMT	http://7oroof.com/demos/promina/assets/images/logo/logo-light.png	C:/My%20Web%20Sites/akram/7oroof.com/demos/promina/assets/images/logo/logo-light.png	(from http://7oroof.com/demos/promina/about-us.html)
21:16:14	1893/1893	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Jun%202020%2020:37:46%20GMT	http://7oroof.com/demos/promina/assets/images/logo/logo-dark.png	C:/My%20Web%20Sites/akram/7oroof.com/demos/promina/assets/images/logo/logo-dark.png	(from http://7oroof.com/demos/promina/about-us.html)
21:16:14	48412/48412	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202020%2020:41:16%20GMT	http://7oroof.com/demos/promina/home-classic.html	C:/My%20Web%20Sites/akram/7oroof.com/demos/promina/home-classic.html	(from http://7oroof.com/demos/promina/about-us.html)
21:16:14	41392/41392	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202020%2020:41:15%20GMT	http://7oroof.com/demos/promina/home-architecture.html	C:/My%20Web%20Sites/akram/7oroof.com/demos/promina/home-architecture.html	(from http://7oroof.com/demos/promina/about-us.html)
21:16:15	28813/28813	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202020%2020:41:13%20GMT	http://7oroof.com/demos/promina/core-values.html	C:/My%20Web%20Sites/akram/7oroof.com/demos/promina/core-values.html	(from http://7oroof.com/demos/promina/about-us.html)
21:16:15	21607/21607	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202020%2020:41:18%20GMT	http://7oroof.com/demos/promina/leadership-team.html	C:/My%20Web%20Sites/akram/7oroof.com/demos/promina/leadership-team.html	(from http://7oroof.com/demos/promina/about-us.html)
21:16:15	20649/20649	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202020%2020:41:19%20GMT	http://7oroof.com/demos/promina/pricing.html	C:/My%20Web%20Sites/akram/7oroof.com/demos/promina/pricing.html	(from http://7oroof.com/demos/promina/about-us.html)
21:16:15	22675/22675	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202020%2020:41:11%20GMT	http://7oroof.com/demos/promina/careers.html	C:/My%20Web%20Sites/akram/7oroof.com/demos/promina/careers.html	(from http://7oroof.com/demos/promina/about-us.html)
21:16:15	35372/35372	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202020%2020:41:26%20GMT	http://7oroof.com/demos/promina/services.html	C:/My%20Web%20Sites/akram/7oroof.com/demos/promina/services.html	(from http://7oroof.com/demos/promina/about-us.html)
21:16:16	29311/29311	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jun%202020%2020:35:19%20GMT	http://7oroof.com/demos/promina/services-single-service.html	C:/My%20Web%20Sites/akram/7oroof.com/demos/promina/services-single-service.html	(from http://7oroof.com/demos/promina/about-us.html)
